p,run,T_total,iters,N,dims
1,1,30.324379,20000,512,"[1, 1] local_rank0=512x512"
1,2,32.498379,20000,512,"[1, 1] local_rank0=512x512"
1,3,34.044706,20000,512,"[1, 1] local_rank0=512x512"
2,1,18.893115,20000,512,"[2, 1] local_rank0=256x512"
2,2,18.909901,20000,512,"[2, 1] local_rank0=256x512"
2,3,19.416233,20000,512,"[2, 1] local_rank0=256x512"
4,1,11.587902,20000,512,"[2, 2] local_rank0=256x256"
4,2,11.624747,20000,512,"[2, 2] local_rank0=256x256"
4,3,10.807279,20000,512,"[2, 2] local_rank0=256x256"
8,1,12.235754,20000,512,"[4, 2] local_rank0=128x256"
8,2,11.439201,20000,512,"[4, 2] local_rank0=128x256"
8,3,11.423540,20000,512,"[4, 2] local_rank0=128x256"
